Location,Pincode ,State ,District 
Achhola,212303,Uttar Pradesh,Allahabad
Agriculture Institute,211007,Uttar Pradesh,Allahabad
Ahmadganj,211003,Uttar Pradesh,Allahabad
Ahmedpur Asrauli,212208,Uttar Pradesh,Allahabad
Ahmedpur Pawan,212208,Uttar Pradesh,Allahabad
Akorha,212301,Uttar Pradesh,Allahabad
Aladadpur,228411,Uttar Pradesh,Allahabad
Alam Chand,212213,Uttar Pradesh,Allahabad
Allahabad,211001,Uttar Pradesh,Allahabad
Allahabad Chowk,211003,Uttar Pradesh,Allahabad
Allahabad City,211003,Uttar Pradesh,Allahabad
Allahabad Fort,211005,Uttar Pradesh,Allahabad
Allahabad High court,211017,Uttar Pradesh,Allahabad
Allahabad Kty.,211002,Uttar Pradesh,Allahabad
Allahabad New cantt,211001,Uttar Pradesh,Allahabad
Allahpur,211006,Uttar Pradesh,Allahabad
Allenganj,211002,Uttar Pradesh,Allahabad
Amilia Kalan,212303,Uttar Pradesh,Allahabad
Amitco,211002,Uttar Pradesh,Allahabad
Amora,212303,Uttar Pradesh,Allahabad
Anapur,228411,Uttar Pradesh,Allahabad
Andhiyaari,229413,Uttar Pradesh,Allahabad
Anuwa,212401,Uttar Pradesh,Allahabad
Arahkala,221508,Uttar Pradesh,Allahabad
Arai,212301,Uttar Pradesh,Allahabad
Arail,211008,Uttar Pradesh,Allahabad
Ashey pur,221508,Uttar Pradesh,Allahabad
Asrawey Kalan,211012,Uttar Pradesh,Allahabad
Atrampur,229412,Uttar Pradesh,Allahabad
Atraura,221502,Uttar Pradesh,Allahabad
Attarsuiya,211003,Uttar Pradesh,Allahabad
Audhan,212218,Uttar Pradesh,Allahabad
Aunta,212303,Uttar Pradesh,Allahabad
Aura,221502,Uttar Pradesh,Allahabad
Ayodhya,212306,Uttar Pradesh,Allahabad
Babhan Kuiyan,221507,Uttar Pradesh,Allahabad
Babhani Hethar,212303,Uttar Pradesh,Allahabad
Babuganj,212404,Uttar Pradesh,Allahabad
Badagaon,212502,Uttar Pradesh,Allahabad
Badaur,212306,Uttar Pradesh,Allahabad
Badokhar,212306,Uttar Pradesh,Allahabad
Bagai Khurd,212404,Uttar Pradesh,Allahabad
Bagbana,212107,Uttar Pradesh,Allahabad
Bahadurganj,211003,Uttar Pradesh,Allahabad
Bahadurgarh Arwasi,212402,Uttar Pradesh,Allahabad
Bahraicha,212106,Uttar Pradesh,Allahabad
